id,start,end,side,curve_radius,curve_length,chaogao,huanchang
A01,1130.084,1130.596,0,1600.0,511.60,130,170
A01,1131.861,1132.218,0,2200.0,356.80,80,130
A01,1132.997,1133.354,1,2500.0,357.00,75,110
A01,1133.920,1133.999,1,12000.0,79.60,10,0
A01,1134.079,1134.171,0,12000.0,92.50,10,0
A01,1134.463,1134.844,0,2500.0,380.70,90,120
A01,1136.045,1136.395,1,2800.0,350.35,50,100
A01,1136.481,1136.833,0,2800.0,352.60,50,100
A01,1136.974,1137.328,0,3000.0,354.13,50,90
A01,1137.417,1137.771,1,3000.0,354.58,50,90
A01,1138.111,1138.399,0,3000.0,287.51,50,90
A01,1140.149,1141.173,1,1393.0,1024.38,120,140
A01,1142.733,1142.889,1,10000.0,156.15,10,30
A01,1142.981,1143.139,0,10000.0,158.09,10,30
A01,1144.739,1145.099,1,1650.0,359.36,90,120
A01,1145.170,1145.483,0,1600.0,313.36,90,110
A01,1145.591,1145.874,1,3200.0,282.74,40,50
A01,1149.457,1149.977,0,1600.0,520.53,100,120
A01,1150.189,1150.959,1,1400.0,769.80,120,130
A01,1152.609,1152.696,1,15000.0,87.00,10,0
A01,1152.791,1152.895,0,15000.0,104.35,10,0
A01,1153.205,1153.523,1,2200.0,317.82,90,110
A01,1154.473,1154.559,0,20000.0,85.81,10,0
A01,1154.634,1154.756,1,18000.0,121.66,10,0
A01,1155.474,1156.162,0,5000.0,688.07,30,60
A01,1158.764,1159.325,0,1600.0,560.82,130,170
A01,1160.350,1161.225,1,1600.0,875.92,130,180
A01,1162.720,1162.870,0,3500.0,149.67,30,40
A01,1162.936,1163.122,1,2000.0,185.35,50,50
A01,1164.948,1165.402,1,1200.0,453.69,130,150
A01,1165.525,1165.753,0,3000.0,228.41,40,70
A01,1165.975,1166.331,0,1640.0,356.46,90,110
A01,1166.478,1166.762,1,1600.0,284.02,90,110
A01,1167.171,1167.417,0,1605.0,246.36,90,110
A01,1167.646,1167.851,1,2995.0,204.32,40,50
A01,1169.447,1170.599,0,3005.0,1151.57,50,70
A01,1171.541,1171.854,1,2000.0,312.54,75,90
A01,1172.445,1172.907,1,1205.3,462.61,125,150
